TransactionID,Date,AccountHolder,TransactionCode,TransactionDescription,Amount,SourceSortCode,SourceAccountNumber,DestinationSortCode,DestinationAccountNumber,Beneficiary,IBAN,SWIFT,SuspicionType,SuspicionNotes
SUS002507,2023-09-25,"Riley, Simpson and Johnson",REF,Refund,252.17,46-53-13,19384348,65-33-15,46091592,Dr Stewart Hayward,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002508,2023-04-26,Dr Jack Patel,BGC,Bank Giro Credit,966.19,54-55-14,85262875,63-37-10,86563710,Vanessa Armstrong-Hayes,,,Structuring,Many small deposits just below reporting threshold
SUS002509,2023-06-06,"Connolly, Holmes and Lambert",FPO,Faster Payment Outgoing,14291.32,19-78-81,55510308,88-94-15,11928148,Catherine Morgan,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002510,2023-09-08,Nash-Cunningham,CHQ,Cheque,2735.31,30-95-39,99150955,11-61-53,44299929,Roger Richardson,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002511,2023-02-07,Dr Howard Gardner,FPO,Faster Payment Outgoing,4049.36,47-37-69,03479880,23-91-11,05223739,Helen Jennings-Kent,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002512,2024-07-30,Amanda Evans,BGC,Bank Giro Credit,981.91,11-28-76,17184448,28-77-55,04668994,Connor Patel,,,Structuring,Many small deposits just below reporting threshold
SUS002513,2024-03-09,Sandra Hopkins-Campbell,FPO,Faster Payment Outgoing,3144.91,40-88-84,83565281,38-92-17,94011828,O'Brien Ltd,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002514,2024-05-04,Mrs Alison Edwards,ATM,ATM Transaction,272.57,33-85-70,84046208,58-90-13,55919092,Laura Coleman-Lewis,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002515,2024-11-20,Brown Group,FPO,Faster Payment Outgoing,13903.46,56-38-87,27405163,78-56-93,72988945,Richardson PLC,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002516,2023-04-14,Scott Forster-Lewis,CHQ,Cheque,18379.12,84-63-61,25378623,15-70-47,45434024,Lawrence Rogers,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002517,2025-02-18,Joanne Howarth,POS,Point of Sale,968.23,88-27-63,58332302,98-27-37,22605708,Owen Hart,,,Structuring,Many small deposits just below reporting threshold
SUS002518,2024-08-17,Gordon Jones,CHQ,Cheque,12712.62,36-39-40,46443503,80-60-97,25373389,"Sheppard, Lee and West",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002519,2024-04-05,Gray-Long,CHQ,Cheque,4461.75,40-18-72,98149879,63-51-74,99443812,Leigh Williams-Morrison,,,Round-Tripping,Funds sent back and forth between same entities
SUS002520,2023-08-30,Mrs Stacey Faulkner,SEPA,SEPA Credit Transfer,1074.28,36-97-98,30913665,30-90-16,51048532,"Farmer, Pritchard and Carr",DE28457906896273336434,ALMQGBOGBVR,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002521,2023-05-10,Mark Spencer,CHQ,Cheque,2344.29,66-28-51,19816928,95-66-16,81332883,"Richards, Mason and Rogers",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002522,2025-04-03,Russell Foster,ATM,ATM Transaction,311.96,65-18-26,59532457,29-50-57,91950301,Atkinson-Morgan,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002523,2025-03-10,Jackson-Day,REF,Refund,164.74,29-45-21,75527918,36-74-40,96958775,Jane Harris-Bailey,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002524,2023-03-24,Mrs Olivia Anderson,MT103,SWIFT Credit Transfer,8706.08,35-16-81,74925425,84-41-89,32055003,Daniel Fletcher,DE83249392782360754125,JJBEGBQB42S,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002525,2023-03-11,Richard Carpenter,CHQ,Cheque,2197.3,77-44-31,41915182,15-31-84,39626166,Miss Melissa Cooper,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002526,2025-02-01,Georgina Patel,REF,Refund,477.52,35-65-64,86011032,11-51-91,61784673,Mr Robert Mitchell,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002527,2024-03-25,Robinson PLC,FPO,Faster Payment Outgoing,9038.79,23-75-45,00627498,42-16-52,92603330,Hollie Norris-Adams,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002528,2024-06-07,Lewis LLC,ATM,ATM Transaction,85.73,70-24-73,10616388,49-99-66,14080802,Turner-Ward,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002529,2023-10-20,Joe Sutton,CHQ,Cheque,1480.18,72-94-11,56393715,19-99-78,14125013,Jason O'Brien,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002530,2024-05-31,Mrs Alexandra Smith,MT103,SWIFT Credit Transfer,8235.03,21-25-97,76628268,69-49-54,86988728,Gail Gregory,DE93415193151408639078,IRYDGBPDI15,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002531,2024-03-06,Robin Birch,TFR,Transfer,20461.69,89-43-94,31493759,45-35-18,66117814,Lynn Hall,,,Money Laundering,Large international transactions with no clear source
SUS002532,2023-09-10,Miss Grace Pearce,CHQ,Cheque,11204.78,98-43-44,96566287,13-90-10,77530222,Dr Emma Campbell,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002533,2024-07-01,Williams-Reed,REF,Refund,126.75,30-79-59,92887313,77-24-12,57077609,Ms Abigail Wilson,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002534,2023-05-14,Robin Clarke,REF,Refund,996.9,98-12-18,95649487,75-66-85,90245498,Brian Austin,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002535,2024-08-23,"Johnson, Begum and Collins",TFR,Transfer,3278.66,97-38-45,23194336,28-65-25,25810668,Ms Carly Richards,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002536,2024-04-12,Sam Waters-Begum,TFR,Transfer,4303.33,49-58-87,36573346,22-81-35,94527410,Knight Ltd,,,Round-Tripping,Funds sent back and forth between same entities
SUS002537,2023-03-14,Irene James,TFR,Transfer,3655.22,79-40-98,25297752,23-67-95,03157081,Miss Fiona Hicks,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002538,2023-10-13,Cheryl Hall,FPO,Faster Payment Outgoing,2242.61,29-45-35,62873777,63-88-62,46639954,Dr Dale Parker,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002539,2024-02-02,Jenkins-Bell,POS,Point of Sale,958.4,62-44-29,62645937,54-86-31,96827202,Stephanie Watson,,,Structuring,Many small deposits just below reporting threshold
SUS002540,2024-05-31,Murray-Davies,CSH,Cash transaction,965.38,29-88-81,49789479,82-21-69,30665716,Alexandra Smith,,,Structuring,Many small deposits just below reporting threshold
SUS002541,2023-04-30,Rosemary Lloyd,REF,Refund,247.7,93-55-38,43457962,27-80-70,42047683,"Berry, Bell and Hanson",,,Account Takeover,Multiple transactions from different IPs/devices
SUS002542,2023-10-12,Knowles-Dawson,SEPA,SEPA Credit Transfer,1420.54,43-51-18,38792468,54-66-41,74596913,Melanie Yates-Hunt,DE40142014301262045183,XNRNGB1YRWA,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002543,2023-05-05,Pauline Hughes-Noble,POS,Point of Sale,950.98,11-12-66,58041155,34-78-57,91678007,Hughes-Smith,,,Structuring,Many small deposits just below reporting threshold
SUS002544,2024-06-10,Ms Dawn Newton,TFR,Transfer,2962.63,71-72-56,42335827,49-49-80,59146762,Mohamed Smith,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002545,2024-08-04,Bailey Group,FPO,Faster Payment Outgoing,8013.6,70-24-60,03289480,71-33-38,27459276,Preston-Hill,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002546,2025-04-23,Tracey Dyer,CHQ,Cheque,844.45,12-72-73,69832840,51-42-79,89695028,Ms Sheila Warner,,,Round-Tripping,Funds sent back and forth between same entities
SUS002547,2024-07-03,"White, Gregory and Jones",TFR,Transfer,16132.19,70-31-48,61961848,18-22-81,76372191,Ms Irene Clarke,,,Money Laundering,Large international transactions with no clear source
SUS002548,2024-04-06,Miss Gillian Simpson,TFR,Transfer,3861.8,38-83-47,43922669,89-72-16,45327053,Deborah Brennan-Wilkinson,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002549,2025-02-08,Chan-James,ATM,ATM Transaction,399.3,18-15-23,64442767,79-84-33,73835561,"Lynch, Taylor and Kennedy",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002550,2023-04-18,Yvonne Barker,REF,Refund,238.52,80-52-37,25900362,89-45-76,21428796,Amelia King,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002551,2024-01-03,Malcolm Morris,FPO,Faster Payment Outgoing,27.36,85-67-99,74001144,98-80-46,50433234,Phillip Walters,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002552,2023-02-12,Jennifer Pearce,TFR,Transfer,21654.85,34-64-84,36178039,83-87-87,78686884,Wendy Anderson,,,Money Laundering,Large international transactions with no clear source
SUS002553,2023-04-20,Justin Long,ATM,ATM Transaction,479.78,82-75-30,49542371,47-36-65,02849478,Miss Patricia Clayton,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002554,2025-01-12,Chapman and Sons,CHQ,Cheque,1181.7,52-84-78,05721753,92-62-15,61155586,Gordon Bartlett,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002555,2025-03-20,Stuart Wilson-Parker,SEPA,SEPA Credit Transfer,6657.63,35-30-68,03336703,63-15-44,36768574,Sharpe and Sons,DE95365580953520426323,RBMDGBBFO5I,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002556,2024-11-03,Melissa O'Brien,CHQ,Cheque,3646.93,48-24-60,93924641,94-90-87,99165686,Webb Ltd,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002557,2024-05-24,Dr Duncan Reed,TFR,Transfer,11597.36,16-23-29,06775382,53-54-25,36695649,"Miller, Murray and George",,,Money Laundering,Large international transactions with no clear source
SUS002558,2025-02-27,Mrs Lucy Collins,REF,Refund,943.98,79-96-99,15883260,68-97-69,19346764,Julia Fletcher,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002559,2024-12-04,Rebecca Burton-Walters,FPO,Faster Payment Outgoing,4240.77,75-76-48,71387239,62-13-14,74546761,Aimee Parsons,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002560,2025-01-28,Mills-Clayton,SEPA,SEPA Credit Transfer,9240.7,17-34-75,79583455,81-40-87,37594761,Dr Jill Flynn,DE38810102379140782697,ZCOIGB952QE,Money Laundering,Large international transactions with no clear source
SUS002561,2024-11-15,Timothy Fitzgerald-Chadwick,TFR,Transfer,614.58,13-89-73,32301341,36-52-31,03399164,Eleanor Mason,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002562,2024-09-21,Joseph James,FPO,Faster Payment Outgoing,23128.03,69-18-91,55666367,86-89-97,96273817,Miss Jemma Collier,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002563,2023-11-02,Mr Rhys Graham,FPO,Faster Payment Outgoing,18422.61,34-92-22,08264873,59-24-70,27997002,Mr Dennis Boyle,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002564,2024-10-20,Warren Inc,CSH,Cash transaction,959.51,86-77-23,26963800,12-18-11,85507399,Taylor-Green,,,Structuring,Many small deposits just below reporting threshold
SUS002565,2024-05-10,Mr Timothy Smith,BGC,Bank Giro Credit,979.72,29-13-64,71305931,21-35-57,25053751,Jonathan Briggs,,,Structuring,Many small deposits just below reporting threshold
SUS002566,2023-03-23,Ms Nicola Clark,CHQ,Cheque,20161.58,31-81-97,69570060,87-52-72,20272800,Bartlett-Roberts,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002567,2025-03-26,Sally Whitehead,CHQ,Cheque,17647.8,71-52-18,07092775,30-91-68,33665696,Green-Hall,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002568,2023-02-13,Dr Norman Holmes,FPO,Faster Payment Outgoing,22137.27,99-95-84,63974881,26-87-43,52799196,Aimee Bird-Smith,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002569,2025-04-04,Hollie James,REF,Refund,381.78,76-78-41,39703973,39-44-34,01607673,Amelia Thomas,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002570,2024-03-15,Hill-Wright,REF,Refund,95.85,87-47-12,94324695,30-65-47,47755724,Hollie Reynolds,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002571,2024-07-31,Tina Adams-Thompson,FPO,Faster Payment Outgoing,4667.99,52-71-54,18356055,41-93-16,02422048,Mr Max Middleton,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002572,2023-04-08,Damian Jones,FPO,Faster Payment Outgoing,4240.4,84-16-64,12114292,14-80-68,03921917,Dr Darren Baker,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002573,2024-05-11,Kate Woods,REF,Refund,320.06,20-38-59,46631980,95-79-88,48333103,Carole Richards,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002574,2023-10-13,Katy Shaw,ATM,ATM Transaction,472.22,49-88-81,09643197,42-96-51,50128470,Mr Robin Chamberlain,,,Round-Tripping,Funds sent back and forth between same entities
SUS002575,2023-09-21,Tina Marsden,CHQ,Cheque,1786.18,46-85-13,15866277,23-41-55,61062102,Adam Wood,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002576,2024-09-16,Gareth Howarth,POS,Point of Sale,965.17,75-77-58,72763047,41-68-96,90421784,"Roberts, Andrews and Morris",,,Structuring,Many small deposits just below reporting threshold
SUS002577,2024-11-12,Victor Burton,CHQ,Cheque,15831.06,36-30-40,58428914,18-12-12,05698604,Collins Ltd,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002578,2024-11-04,Mitchell Inc,TFR,Transfer,1325.62,99-14-97,57954872,18-56-62,35002977,Reynolds-Daniels,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002579,2023-06-07,Mrs Barbara Clayton,REF,Refund,884.23,95-86-72,41559603,52-50-62,56559939,"Taylor, Harrison and Evans",,,Fake Refunds,Frequent large refunds without matching purchases
SUS002580,2024-06-06,Dorothy Hudson,ATM,ATM Transaction,370.48,31-58-53,57856125,69-57-34,53358133,Lauren Simpson-Williams,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002581,2025-04-03,Marilyn Adams-Collins,ATM,ATM Transaction,497.19,92-53-37,75791771,65-62-91,14354546,Thompson-Kelly,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002582,2024-03-29,"Phillips, Miles and Hussain",ATM,ATM Transaction,284.01,40-43-28,15248437,31-64-81,85421564,Paige Wong,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002583,2023-03-05,"Collins, White and Cross",ATM,ATM Transaction,105.08,87-93-31,54838472,39-54-25,31870963,Sheila Yates,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002584,2023-06-08,Hartley PLC,CHQ,Cheque,15390.1,88-79-49,33536189,79-28-41,32062305,Williams-Chapman,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002585,2025-03-17,Eileen Bennett,CHQ,Cheque,8195.85,43-58-72,61777708,29-14-20,59042479,Mrs Frances Moore,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002586,2025-02-15,Gail Hutchinson,REF,Refund,706.25,24-99-93,98953596,83-93-47,37086567,Leon Grant,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002587,2023-10-15,Aimee Rahman,ATM,ATM Transaction,370.28,77-93-65,92189740,36-55-31,79054054,Dr Owen Howell,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002588,2023-09-04,Marie Baker,ATM,ATM Transaction,310.23,81-80-19,51906017,44-81-47,94674222,Parkin PLC,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002589,2024-10-19,"Cook, Vaughan and Evans",FPO,Faster Payment Outgoing,22173.27,22-18-38,73771253,51-72-57,37165481,Deborah Dawson-Sutton,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002590,2024-07-09,Joyce Clark-Leonard,SEPA,SEPA Credit Transfer,5377.95,73-64-31,53687775,96-56-87,80895923,Brett Begum,DE36920246709834186108,TVAMGBHFXC9,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002591,2024-07-28,Baldwin-Watts,REF,Refund,230.62,99-46-57,51842258,74-11-58,69589281,Roberts Inc,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002592,2023-01-12,"Davies, Lee and Morgan",REF,Refund,728.5,43-32-26,41637849,47-99-40,61350069,Ronald Smith,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002593,2024-02-27,Phillips Ltd,FPO,Faster Payment Outgoing,3189.58,98-93-70,17776125,39-33-85,52253811,Hannah Clements,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002594,2024-10-01,Doyle and Sons,FPO,Faster Payment Outgoing,18313.04,15-20-61,50065111,70-87-68,26411302,Robertson and Sons,,,Money Laundering,Large international transactions with no clear source
SUS002595,2023-08-28,Hancock Inc,SEPA,SEPA Credit Transfer,23449.31,92-97-86,79724843,19-96-20,62194044,Daniel James,DE51168005274432222398,FGBJGBG45YI,Money Laundering,Large international transactions with no clear source
SUS002596,2024-05-29,"Harrison, Stanley and Smith",FPO,Faster Payment Outgoing,17106.68,98-99-48,02533455,73-57-82,04223825,Wendy Matthews-Quinn,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002597,2024-08-21,Lesley Wilson,CHQ,Cheque,4142.18,26-84-32,70257913,71-34-60,77746922,Mary Duncan,,,Round-Tripping,Funds sent back and forth between same entities
SUS002598,2024-03-07,Karen Begum,CHQ,Cheque,1626.07,25-60-25,20744274,25-91-45,01084003,Sylvia Lloyd,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002599,2025-03-03,Dr Dylan Wood,CHQ,Cheque,13655.4,73-89-31,30336513,52-89-67,52713788,"Parker, Harrison and Hart",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002600,2025-04-03,Rebecca Dixon,FPO,Faster Payment Outgoing,12382.23,36-91-17,14656125,88-34-47,98045364,Georgia Andrews,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002601,2023-12-12,Carl Bell,POS,Point of Sale,957.24,22-75-42,98818386,40-78-43,62537927,Mitchell and Sons,,,Structuring,Many small deposits just below reporting threshold
SUS002602,2024-04-14,Aimee Lee-Dean,ATM,ATM Transaction,219.69,23-93-56,16207418,19-40-61,88729446,Janice Collins,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002603,2023-12-11,Begum LLC,CSH,Cash transaction,989.81,31-36-29,29597198,91-49-79,37521856,Christine Young,,,Structuring,Many small deposits just below reporting threshold
SUS002604,2023-08-22,"Walker, Singh and Porter",ATM,ATM Transaction,127.07,34-13-51,85699252,95-36-57,95643789,Dr Gregory Harris,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002605,2023-08-26,Ryan Wilson-Kerr,CHQ,Cheque,979.93,39-78-11,26821300,73-87-90,23921816,Georgia Connolly-Dale,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002606,2023-07-13,Dr Heather White,ATM,ATM Transaction,21.05,27-14-38,00500465,11-79-43,94844747,Dr Adrian Akhtar,,,Round-Tripping,Funds sent back and forth between same entities
SUS002607,2023-10-08,Teresa Morgan,CSH,Cash transaction,996.14,32-84-49,67576039,13-69-27,59587954,Dr Oliver Evans,,,Structuring,Many small deposits just below reporting threshold
SUS002608,2024-12-22,Melissa Saunders,FPO,Faster Payment Outgoing,10367.76,26-27-14,57986761,72-60-96,31084665,Jayne Taylor-Taylor,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002609,2023-09-05,Gibson LLC,CHQ,Cheque,17486.18,61-26-82,96524425,77-31-36,00031167,Janice Wallace,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002610,2024-11-20,Elaine Parker,ATM,ATM Transaction,266.64,41-96-56,08551730,54-52-78,95579683,Marie Fox,,,Round-Tripping,Funds sent back and forth between same entities
SUS002611,2024-09-10,Jennifer Turner,ATM,ATM Transaction,334.97,63-86-43,09536933,90-57-11,15077706,Leonard Donnelly,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002612,2025-02-22,Wendy Warren,CSH,Cash transaction,975.9,12-68-75,85213898,94-59-10,06974366,Stanley Hawkins,,,Structuring,Many small deposits just below reporting threshold
SUS002613,2024-05-23,Mrs Ashleigh Ashton,SEPA,SEPA Credit Transfer,18575.09,71-85-18,95334014,66-38-38,81898606,Dr Denise Scott,DE40747419335529981605,KVEOGBFCFVE,Money Laundering,Large international transactions with no clear source
SUS002614,2023-03-12,Donna Page,TFR,Transfer,2116.63,57-10-31,23434676,18-23-74,51088085,Lynda Turner,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002615,2023-09-17,Armstrong-Singh,FPO,Faster Payment Outgoing,18932.18,11-48-82,81001017,49-65-53,98174397,Lynn Robson-Harding,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002616,2024-06-16,"Fisher, Barton and Hughes",TFR,Transfer,839.73,27-94-89,38924472,18-33-95,86666541,Jean Payne,,,Round-Tripping,Funds sent back and forth between same entities
SUS002617,2024-08-27,Lynda Woodward,REF,Refund,374.55,69-14-61,28889825,55-73-29,57125544,Gerald Cooper,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002618,2025-02-07,Dr Nicholas Collins,ATM,ATM Transaction,325.14,94-85-66,52148858,96-83-31,32639182,Dr Charlotte Elliott,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002619,2023-02-16,Dr Michelle Dunn,REF,Refund,232.48,47-32-83,63606717,38-29-66,90778692,Stephen Stevens,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002620,2025-03-05,Nigel Turnbull,REF,Refund,697.0,43-50-17,30428880,16-92-13,74373676,Donna Holmes-Carter,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002621,2024-08-27,Harris-Thomas,POS,Point of Sale,997.16,82-34-85,90385639,86-57-91,04768078,Chelsea Wells,,,Structuring,Many small deposits just below reporting threshold
SUS002622,2025-04-15,West and Sons,FPO,Faster Payment Outgoing,11296.64,77-86-96,41080503,84-31-40,68858046,Sylvia Weston,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002623,2023-11-02,Mr Tom Parkinson,CHQ,Cheque,687.99,67-85-30,91385624,45-26-10,12060617,Jeremy Crawford-Wilson,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002624,2023-01-22,May-Marsh,REF,Refund,144.97,44-87-67,32694079,43-24-21,99569513,Mitchell-John,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002625,2024-12-29,Chloe Price,REF,Refund,417.59,99-75-49,45705915,79-62-40,57204761,Nicholas Patel,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002626,2023-05-30,Adam Giles,TFR,Transfer,16130.79,45-46-96,97834732,83-88-48,38118031,"Kay, John and Cooper",,,Money Laundering,Large international transactions with no clear source
SUS002627,2024-03-26,Louis Sullivan,REF,Refund,997.79,26-81-44,87934627,50-66-55,76742878,Chamberlain LLC,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002628,2024-10-15,Stokes-Cox,FPO,Faster Payment Outgoing,22633.5,49-91-25,37082911,28-55-68,20590648,Whitehead Ltd,,,Money Laundering,Large international transactions with no clear source
SUS002629,2025-03-02,Victoria Webb,FPO,Faster Payment Outgoing,12084.1,79-38-76,59340992,50-15-92,86372721,Thomas-Turner,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS002630,2024-12-22,Miss Tracey Wright,REF,Refund,251.23,14-93-28,32494784,35-52-82,17363271,Hargreaves-Pearce,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002631,2023-08-06,Dr Bryan Smith,REF,Refund,285.4,20-59-59,19104563,52-64-64,45657340,Mr Philip Russell,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002632,2025-01-31,Antony Blackburn-Bailey,FPO,Faster Payment Outgoing,1941.31,35-64-68,29967671,19-57-28,94540906,Stanley Foster,,,Round-Tripping,Funds sent back and forth between same entities
SUS002633,2024-07-24,"Wilkinson, Taylor and Wood",FPO,Faster Payment Outgoing,2293.48,14-98-43,36197920,44-90-68,29872986,"Young, West and Noble",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS002634,2023-02-16,Norman Davies,FPO,Faster Payment Outgoing,2801.96,59-20-69,71784788,26-75-58,15531933,Ms Heather Anderson,,,Account Takeover,Multiple transactions from different IPs/devices
SUS002635,2024-02-26,Mr Oliver Wilkinson,MT103,SWIFT Credit Transfer,13335.07,65-56-66,24139383,67-97-57,81473172,Jenna Clements,DE65922598671687531959,UGDKGBXN6JJ,Money Laundering,Large international transactions with no clear source
SUS002636,2023-08-02,Randall LLC,SEPA,SEPA Credit Transfer,22575.58,54-56-52,75030239,47-80-19,41679252,Jordan Evans,DE50101186515285509454,JFCDGBR1AWL,Money Laundering,Large international transactions with no clear source
SUS002637,2024-04-10,Jennings-Williams,TFR,Transfer,1851.1,23-14-69,13257108,27-64-91,57624109,Mr Leslie Evans,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002638,2024-02-23,Jasmine Ferguson-Noble,MT103,SWIFT Credit Transfer,239.26,62-26-53,18584239,89-12-32,35732587,Geoffrey Pope-Barker,DE37221756257623257351,DHNCGBA5JK6,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002639,2023-03-17,Katherine Turner,FPO,Faster Payment Outgoing,580.5,64-24-64,59936666,66-80-95,88578805,Dr Simon Brown,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS002640,2024-07-10,Pritchard-King,ATM,ATM Transaction,44.87,34-39-81,55271547,26-47-51,92877303,Charlotte Walker,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS002641,2024-07-06,Campbell-Owen,REF,Refund,920.66,86-89-45,49226320,17-45-60,65363737,White LLC,,,Fake Refunds,Frequent large refunds without matching purchases
SUS002642,2024-02-06,Bernard Faulkner,BGC,Bank Giro Credit,961.21,61-94-56,43242353,38-18-18,65253465,"Watts, Wells and Begum",,,Structuring,Many small deposits just below reporting threshold
SUS002643,2024-02-26,"Lees, Patel and Cooper",SEPA,SEPA Credit Transfer,13023.68,51-62-55,21385130,31-61-35,44593774,Baker-Walker,DE89931187334749879395,FANZGBD8976,Money Laundering,Large international transactions with no clear source
SUS002644,2024-04-11,"Chan, Cooper and Potter",BGC,Bank Giro Credit,954.17,97-95-56,06713703,62-46-54,52711650,Joyce Akhtar,,,Structuring,Many small deposits just below reporting threshold
SUS002645,2024-11-27,"Brown, Williams and Riley",REF,Refund,842.28,32-78-70,46469338,28-70-87,95116512,Abdul Henderson-Lane,,,Round-Tripping,Funds sent back and forth between same entities
SUS002646,2023-06-04,Brennan Ltd,POS,Point of Sale,998.65,98-15-70,57048603,34-92-32,75311963,Leigh Williams-Roberts,,,Structuring,Many small deposits just below reporting threshold
SUS002647,2023-09-02,"Clarke, Taylor and Turner",CHQ,Cheque,24394.35,22-71-96,37715398,99-64-70,88122900,Kathryn Goodwin,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002648,2025-02-21,Michelle Jenkins,ATM,ATM Transaction,103.04,25-51-29,07380279,66-59-69,69319500,Charlotte Robinson-Lambert,,,Round-Tripping,Funds sent back and forth between same entities
SUS002649,2024-12-01,Dr Gavin Cameron,CHQ,Cheque,15024.74,86-30-86,82628340,31-69-34,60657047,Wilson-Howell,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS002650,2023-09-02,Maria Hyde,CHQ,Cheque,18625.45,35-15-92,56462003,57-39-28,17160442,Bethan Goodwin,,,Cheque Fraud,High-value cheque with unusual beneficiary
